id,name,default_unit,density_g_per_ml,is_active,notes,created_at,updated_at,category_id
271,Banana,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
272,Caise,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
273,Capsuni,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
274,Cirese,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
275,Coacaze,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
276,"Fragi de padure",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
277,Grapefruit,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
278,Gutui,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
279,Lamai,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
280,Mandarine,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
281,Maceșe,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
282,Mere,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
283,Mure,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
284,"Pepeni galbeni",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
285,"Pepeni verzi",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
286,Pere,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
287,Piersici,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
288,Portocale,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
289,Prune,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
290,Zmeura,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
291,Struguri,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
292,Visine,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",16
293,"Caise fara samburi",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",17
294,"Curmale cu samburi",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",17
295,Mere,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",17
296,Pere,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",17
297,Piersici,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",17
298,"Prune cu samburi",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",17
299,Smochine,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",17
300,Stafide,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",17
301,"Suc natural de mere",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",18
302,"Suc de pere",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",18
303,"Suc de prune",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",18
304,"Suc de zmeura",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",18
305,"Suc de struguri",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",18
306,"Suc de tomate",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",18
307,"Compot de caise",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",18
308,"Compot de cirese",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",18
309,"Compot de gutui",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",18
310,"Compot de mere",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",18
311,"Compot de pere",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",18
312,"Compot de piersici",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",18
313,"Compot de prune",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",18
314,"Compot de visine",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",18
315,"Fasole boabe",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",19
316,"Linte boabe",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",19
317,"Mazare boabe",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",19
318,Soia,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",19
319,"Paine de grau alba",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",20
320,"Paine de grau intermediara",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",20
321,"Paine de grau neagra",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",20
322,"Paine secară",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",20
323,"Paine graham",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",20
324,"Cornuri, chifle simple",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",20
325,"Faina de grau extractie 75%",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",20
326,"Faina de secara",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",20
327,"Faina de porumb",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",20
328,"Arpacas de orz",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",20
329,"Orez decorticat",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",20
330,Gris,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",20
331,"Fulgi de ovaz",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",20
332,"Paste fainoase obisnuite",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",20
333,"Paste fainoase cu ou",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",20
334,Biscuiti,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",20
335,Arahide,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",21
336,"Alune in coaja",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",21
337,"Masline negre",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",21
338,"Masline verzi",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",21
339,Nuci,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",21
340,Zahar,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
341,Glucoza,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
342,"Miere de albine",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
343,Amidon,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
344,"Caramele cu lapte",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
345,"Caramele cu fructe",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
346,"Caramele cu menta",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
347,"Caramele cu rom",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
348,"Caramele cu lapte si malt",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
349,Dropsuri,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
350,"Dropsuri cu lapte (aroma)",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
351,Drajeuri,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
352,"Bomboane fondante",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
353,"Bomboane ciocolata",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
