Aliment,Proteine (g),Lipide (g),Glucide (g),Potasiu (mg),Fosfor (mg),Sodiu (mg),Energie (kcal),,
Fragi de padure,"1,3",1,"9,8",160,38,2,54,,
Grapefruit,"0,5","0,2","6,5",230,10,2,30,,
Gutui,"0,5","0,5","14,2",200,28,4,65,,
Lamai,"0,9","0,7","6,2",170,20,3,36,,
Mandarine,"0,8","0,1","8,7",110,23,"2,2",40,,
Maceșe,"4,1","1,2","21,8",220,25,5,117,,
Mere,"0,3","0,5",15,120,10,3,67,,
Mure,"1,5","1,4","14,1",260,50,2,77,,
Pepeni galbeni,"0,5","0,1",5,320,30,14,23,,
Pepeni verzi,"0,5","0,1","5,4",270,15,8,25,,
Pere,1,1,18,130,12,3,79,,
Piersici,1,0,10,260,20,3,45,,
Portocale,"0,8","0,2","10,1",200,23,4,47,,
Prune,"0,6","0,1",21,300,32,3,89,,
Zmeura,1,1,14,220,29,3,71,,
Struguri,"2,1","1,7",18,300,24,2,98,,
Visine,1,"0,5",14,290,30,3,66,,
Fructe deshidratate,,,,,,,,,
Caise fara samburi,"5,2","0,4",68,0,139,0,304,,
Curmale cu samburi,"1,9","0,6",74,0,64,0,316,,
Mere,1,1,55,0,48,0,239,,
Pere,"2,4","0,4",70,0,61,0,300,,
Piersici,3,"0,6","69,4",0,125,0,302,,
Prune cu samburi,"2,5","0,5",71,800,85,12,306,,
Smochine,"4,3","1,3",58,780,111,34,267,,
Stafide,"2,5","0,5",71,708,129,31,306,,
Sucuri naturale si compoturi,,,,,,,,,
Suc natural de mere,"0,09",0,"17,4",120,9,1,72,,
Suc de pere,"0,02",0,"14,1",220,10,3,57,,
Suc de prune,"0,09",0,"13,7",0,0,0,56,,
Suc de zmeura,"0,16",0,"12,3",0,12,0,51,,
Suc de struguri,"0,13",0,20,300,30,2,83,,
Suc de tomate,1,0,5,0,32,0,25,,
Compot de caise,"0,5",0,14,0,16,0,59,,
Compot de cirese,"0,4",0,"15,5",0,0,0,65,,
Compot de gutui,0,0,17,0,0,0,70,,
Compot de mere,"0,3",0,"17,5",0,6,0,73,,
Compot de pere,"0,2",0,"20,5",0,7,0,85,,
Compot de piersici,"0,6",0,"16,1",256,20,16,68,,
Compot de prune,"0,4",0,"15,3",0,11,0,64,,
Compot de visine,"0,4",0,"15,5",0,17,0,65,,
Leguminoase uscate,,,,,,,,,
Fasole boabe,23,"1,7",47,1500,309,60,303,,
Linte boabe,25,"1,9",52,700,242,90,333,,
Mazare boabe,"21,5","1,9",63,1000,303,35,323,,
Soia,17,9,10,515,245,237,173,,
"Paine, produse de panificatie",,,,,,,,,
Paine de grau alba,"7,5","0,4",52,120,87,360,247,,
Paine de grau intermediara,"7,5","0,7",48,0,98,0,234,,
Paine de grau neagra,"8,4","1,2",48,190,164,400,242,,
Paine secară,"12,4","1,7","67,7",200,256,400,344,,
Paine graham,"9,1",1,51,0,218,0,256,,
"Cornuri, chifle simple","8,2","0,4","57,1",120,61,280,271,,
Faina de grau extractie 75%,"11,8","1,4",72,200,132,30,356,,
Faina de secara,"8,9","1,2","74,6",0,146,0,353,,
Faina de porumb,"9,6","1,7","72,1",300,250,10,351,,
Arpacas de orz,"9,5","1,5",72,160,236,3,348,,
Orez decorticat,"8,1","1,2","75,5",200,150,30,354,,
Gris,"9,4","0,9","75,9",180,101,25,358,,
Fulgi de ovaz,"13,6","6,3","63,3",370,353,35,374,,
Paste fainoase obisnuite,"10,9","0,6","75,6",140,97,200,360,,
Paste fainoase cu ou,"10,2","2,2","79,1",140,156,200,386,,
Biscuiti,"8,2","9,5",74,90,150,300,425,,
Seminte,,,,,,,,,
Arahide,"25,8","44,5","15,7",680,400,7,584,,
Alune in coaja,12,63,17,690,460,4,705,,
Masline negre,20,35,"7,2",100,92,2300,437,,
Masline verzi,"12,5",10,"8,1",0,85,0,177,,
Nuci,21,59,"3,7",450,360,4,658,,
"Zahar, produse zaharoase",,,,,,,,,
Zahar,0,0,100,"0,5",0,"0,3",410,,
Glucoza,0,0,78,0,0,0,320,,
Miere de albine,"0,5","0,2",81,10,33,5,336,,
Amidon,0,0,83,0,0,0,340,,
Caramele cu lapte,0,0,96,0,0,0,394,,
Caramele cu fructe,"1,2","6,4","83,1",0,0,0,405,,
Caramele cu menta,"3,7",5,84,0,0,0,406,,
Caramele cu rom,"2,7","5,4",64,0,0,0,323,,
Caramele cu lapte si malt,"6,4","6,9",81,0,0,0,422,,
Dropsuri,0,0,"98,5",0,0,0,403,,
Dropsuri cu lapte (aroma),"2,3",2,95,0,0,0,417,,
Drajeuri,0,0,99,0,0,0,405,,
Bomboane fondante,"3,1","9,1","78,7",0,0,0,420,,
Bomboane ciocolata,7,"33,8","56,3",0,0,0,574,,
"Sirop de fructe (visine, zmeura)","0,4",0,84,0,0,0,264,,
Gem de caise,"0,65",0,58,0,0,0,240,,
Gem de piersici,"0,64",0,58,0,15,0,240,,
Gem de prune,"0,62",0,59,0,14,0,244,,
Gem de zmeura,0,0,60,0,0,0,246,,
Gem de visine,"0,83",0,60,0,0,0,250,,
Gem de capsuni,"0,34",0,58,0,10,0,239,,
Gem de gutui,"0,35",0,58,0,12,0,239,,
Dulceata de trandafiri,0,0,69,0,0,0,278,,
Jeleu de afine,"0,6",0,76,0,0,0,314,,
Jeleu de mure,"0,5",0,65,0,0,0,269,,
Marmelada amestec,"0,8",0,54,0,12,0,225,,
Marmelada extra,"0,42",0,71,0,10,0,292,,
Magiun de prune,"1,5",0,55,0,17,0,232,,
Ciocolata menaj,"6,5","27,5",62,900,619,60,536,,
Ciocolata cu lapte,"6,9",40,50,442,445,10,605,,
Halva din floarea soarelui,"18,6","31,5",43,0,0,0,548,,
Grasimi alimentare,,,,,,,,,
Smântână 20%,2.5,30,3.1,126,35,70,302,,
Smântână 30%,2.5,29.5,3,95,60,30,297,,
Unt,6,74,2,14,25,10,721,,
Ulei de floarea soarelui,0,100,0,0,0,0,930,,
Ulei de floarea soarelui și soia,0,100,0,0,0,0,930,,
Ulei soia,0,100,0,0,0,0,930,,
Margarină,0,82.5,0,0,12,0,767,,
Ulei germeni porumb,0,100,0,0,0,0,930,,
Bere blondă (100 ml),0.5,0,2.9,33,28,5,43,,
Ceasca de Cafea (50 ml),0,0,0,33,1,0,1,,
ceasca de Ceai (100 ml),0,0,0,20,60,1,0.5,,
Ciocolata menaj,1.9,32,64.3,471,240,250,569,,
Coca-Cola (100 ml),0,0,11,150,1,8,46,,
Gume de amestecat cu fructe,0.1,0,78.5,8,5,0,310,,
Inghetata de fructe,0,0,32.6,38,26,?,134,,
Ketchup,2,0.3,24,600,40,1200,109,,
Maioneză,1.5,80,3,18,60,400,774,,
Muștar,6,6,6,200,190,2500,105,,
Parfait,2.2,4.5,27.8,99,117,?,165,,
Praf de cacao,21.4,19,32.4,1600,700,40,386,,
Vin alb demisec (100 ml),0.1,0,2,88,8,3,70,,
Vin roșu sec (100 ml),0.1,0,0.3,100,10,3,65,,
Nu sunt ,,,,,,,,,https://ro.scribd.com/document/371580659/Tabel-continut-portii
Slanina afumata,15,"43,3",0,539,506,2193,?,,https://dieta.romedic.ro/aliment/slanina-afumata
Avocado,2,?,?,485,52,7,?,,
Afine,"0,74",,,77,12,1,,,
loboda,17,,,800,150,0,,,
leustean,3,,,0,0,0,,,
patrunjel,3,,,554,58,56,,,
